AHMAD SAEED MEDICINE DISTRIBUTORS - MIANWALI,219636428.600009
PREMIER SALES PVT LTD-GUJJAR KHAN,205443178.007507
SHAHMEER & HADI DISTRIBUTORS - KHUSHAB,171185049.090007
PREMIER SALES PVT LTD-HAFIZABAD,155089256.393702
PREMIER SALES PVT LTD-NAUSHERO FEROZ,155049161.874306
PREMIER SALES PVT LTD-NAROWAL,147975683.9854
PREMIER SALES PVT LTD-SHAHDADPUR,129911873.378299
SHOAIB DRUG AGENCY - BATKHELA,127398142.639999
SULTAN SUPPLIES SERVICES - LAYYAH,123087501.344998
NOOR MEDICINE COMPANY - BHAKKAR,123061831.779999
PREMIER SALES PVT LTD-THATTA,122405020.013397
SADAT TRADERS - MIR ALI,121656952.61
PREMIER SALES PVT LTD-NOWSHERA,118198790.049798
PREMIER SALES PVT LTD-GILGIT,117378251.742701
PREMIER SALES PVT LTD-BUREWALA,105645492.325396
PREMIER SALES PVT LTD-KHARIAN,94154252.676199
HAZZ INTERNATIONAL - KARACHI,91820270.4573
EMAAN TRADERS PHARMACEUTICAL - LORALAI,88917365.0499997
LIFE CARE - RAWALPINDI,87596421.91
AL-ABBAS DISTRIBUTORS - SKARDU,82618258.512
PREMIER SALES PVT LTD-BADIN,81045547.3154969
A.K. ENTERPRISES - KARACHI,79470733.09
MAKKAH ENTERPRISES - PARACHINAR,66409226.9199999
PAKISTAN VACCINE HOUSE - LAHORE,65810247.5899997
FRIENDS MEDICINE SERVICE - RAWALAKOT,54011628.8680001
NEW KARACHI MEDICINE DISTRIBUTOR - WANA,48627683.0244002
BIOMAX PHARMA - LAHORE,46169099.17
FINE TRADERS - LAHORE,41959460.11
FAMOUS DISTRIBUTORS - FAISALABAD,39520525.548
AL-RAZZAK ENTERPRISES - KARACHI,35523736.35
ALAM ENTERPRISES - CHITRAL,34505144.19
PREMIER SALES PVT LTD-MITHI,31533042.4345
PREMIER SALES PVT LTD-GWADAR,30536822.2559
S.K. DISTRIBUTOR - ISLAMABAD,27119872.63
SURGI PLUS - HYDERABAD,25130832.521
A.K. ENTERPRISES - MULTAN,18109117.13
SNW Medicine Distribution - KHUZDAR,17854226.53
A.Q. TRADERS - RAWALPINDI,7315322.06
NAJAM BROTHERS - QUETTA,6987700.62370001
HAFIZ MEDICINE COMPANY - SARGODHA,6785460.15000001
HEALTH RESOURCES DISTRIBUTORS - RWP,6316584.34
PREMIER SALES PVT LTD-SHORKOT,4990478.22999998
KHURRAM TRADERS - SIALKOT,4875921.82
PREMIER SALES PVT LTD-SHAKARGARH,1700698.1214
CHAUDHARY MEDICINE CENTER–TTSINGH,847214.5
